,date,time,pss4_instrument
814,10/30/2022,172642,247a
815,11/1/2022,172458,2474
816,11/7/2022,172349,2474
817,11/9/2022,172535,2446
818,11/10/2022,165023,241f
819,11/12/2022,172622,2473
820,11/21/2022,172245,2461
821,11/22/2022,164105,2445
822,11/25/2022,172433,2482
823,11/26/2022,172327,2477
824,11/27/2022,164908,2453
825,11/28/2022,172311,249b
826,12/3/2022,172242,247e
827,12/4/2022,172600,247a
828,12/5/2022,172726,2473
829,12/6/2022,172405,247f
830,12/7/2022,172557,2495
831,12/8/2022,172600,2461
832,12/9/2022,172514,2499
833,12/10/2022,172457,249c
834,12/11/2022,172422,2498
835,12/16/2022,173139,227a
836,12/17/2022,172408,24a3
837,12/19/2022,172608,2446
838,12/20/2022,172700,247d
839,12/21/2022,172428,248b
840,12/21/2022,172727,249c
841,2/11/2023,172716,249c
842,2/13/2023,165532,24ce
843,2/14/2023,165131,2429
844,2/21/2023,172343,2486
845,2/26/2023,164513,2449
846,2/27/2023,165126,2430
847,3/2/2023,172824,249c
848,3/4/2023,172711,2479
849,3/5/2023,165335,24af
850,3/9/2023,173931,2402
851,3/10/2023,165143,2465
852,3/11/2023,172630,2490
853,3/13/2023,164948,241f
854,3/15/2023,165500,24a9
855,3/17/2023,172649,249d
856,3/18/2023,171350,2276
857,3/18/2023,172702,247b
858,3/21/2023,171305,2276
859,3/22/2023,172752,2424
860,3/23/2023,172221,2461
861,3/24/2023,165544,24be
862,3/28/2023,165435,24c3
863,3/29/2023,171252,2251
864,3/30/2023,164822,2447
865,4/1/2023,165423,24ca
866,4/2/2023,165557,24b0
867,4/2/2023,165831,2415
868,4/3/2023,164631,2447
869,4/5/2023,172725,2485
870,4/6/2023,165149,241f
871,4/7/2023,164409,2447
872,4/7/2023,172613,247f
873,4/10/2023,172604,249c
874,4/11/2023,172629,2474
875,4/12/2023,172502,24a4
876,4/15/2023,165424,2415
877,4/16/2023,174138,240c
878,4/17/2023,165346,241e
879,4/18/2023,171800,2276
880,4/19/2023,165735,24c7
881,4/20/2023,164632,2460
882,4/20/2023,165616,24ca
883,4/23/2023,172716,247f
884,4/24/2023,172352,24a4
885,4/24/2023,172916,247b
886,4/27/2023,165201,2432
887,4/27/2023,174329,240c
888,4/29/2023,174245,2426
889,5/1/2023,172726,2482
890,5/3/2023,165424,2465
891,5/5/2023,172810,247c
892,5/8/2023,173245,2424
893,5/9/2023,165352,245c
894,5/16/2023,164910,2451
895,5/17/2023,165034,2464
896,5/20/2023,165629,24ca
897,5/23/2023,165157,241e
898,5/25/2023,165711,24c7
899,5/26/2023,172724,248b
900,5/27/2023,172520,2480
901,5/28/2023,164830,2420
902,5/29/2023,165219,24a9
903,5/30/2023,165131,241e
904,6/7/2023,165726,24c5
905,6/9/2023,165443,2429
906,6/9/2023,165621,24a7
907,6/10/2023,165510,24c8
908,6/18/2023,165635,24ca
909,6/18/2023,173113,2480
910,6/19/2023,164715,2455
911,6/22/2023,172910,2488
912,6/23/2023,165559,24b3
913,6/24/2023,174559,2402
